CERT,NAME,CITY,STNAME,ZIP,ADDRESS,BKCLASS,CHARTER,ACTIVE,INSDATE,REGAGENT,ASSET,DEP,LATITUDE,LONGITUDE,WEBADDR
0,The Bank of East Asia Ltd.,New York,New York,10022,540 Madison Ave,NC,0,1,12/31/9999,,,,40.7610901169298,-73.9737993264449,
10004,Ergo Bank,Markesan,Wisconsin,53946,86 E Water St,NM,0,1,01/01/1934,,254611,216536,43.706249996883,-88.9863210027042,www.ergobank.com
10011,Woodford State Bank,Monroe,Wisconsin,53566,403 W 8th St,NM,0,1,01/01/1934,,490950,381139,42.6040529890936,-89.6620579667678,www.woodfordstatebank.com
10012,The Portage County Bank,Almond,Wisconsin,54909,1155 County Road D,NM,0,1,01/01/1934,,220933,185973,44.2578870171019,-89.4103400266777,http://www.PORTAGECOUNTYBANK.COM
10015,Security Bank,New Auburn,Wisconsin,54757,112 E Main St,NM,0,1,01/01/1934,,230511,196313,45.2041540132855,-91.5608120018434,www.securityonlinebank.com
10044,National Exchange Bank and Trust,Fond Du Lac,Wisconsin,54935,130 S Main St,N,13879,1,01/01/1934,,2919051,2321022,43.7751139950823,-88.4475480245648,https://www.nebat.com
1005,Isabella Bank,Mount Pleasant,Michigan,48858,139 E Broadway St,SM,0,1,01/01/1934,,2210646,1950278,43.6042419837808,-84.77510499059,www.isabellabank.com
10055,First Southern Bank,Waycross,Georgia,31501,930 Memorial Dr,NM,0,1,01/01/1934,,324134,292274,31.2097449839161,-82.345320006062,www.fsb-bank.bank
10057,Bank of Hancock County,Sparta,Georgia,31087,12855 Broad St,NM,0,1,01/01/1934,,80515,67132,33.2763470072655,-82.972288961975,www.bankofhancock.com
10072,Planters and Citizens Bank,Camilla,Georgia,31730,21 N Harney St,NM,0,1,01/01/1934,,148940,127383,31.2318460090234,-84.2083180156575,http://www.pcbank.net
10074,Apex Banking Company of Georgia,Cleveland,Georgia,30528,35 Jesse Mae Thurmond Conn,NM,0,1,01/01/1934,,69563,63680,34.577834282339,-83.764276552836,www.apexga.bank
10075,Peoples State Bank of Colfax,Colfax,Illinois,61728,101 W Main St,NM,0,1,01/01/1934,,48864,43038,40.5672510203753,-88.6163929983119,http://www.psbofcolfax.com
10077,Farmers State Bank of Emden,Emden,Illinois,62635,205 Lincoln St,NM,0,1,01/01/1934,,37470,26226,40.2992860182651,-89.4858080006604,
1008,Bank Michigan,Brooklyn,Michigan,49230,417 S Main St,SM,0,1,01/01/1934,,141120,115241,42.0976269906841,-84.2471630239148,http://www.bankmichigan.bank
10101,The Napoleon State Bank,Napoleon,Indiana,47034,8912 N Us Highway 421,NM,0,1,01/01/1934,,490327,434681,39.2046590825134,-85.3305495831233,www.napoleonstatebank.com
10111,Ohnward Bank & Trust,Cascade,Iowa,52033,332 1st Ave W,NM,0,1,01/01/1934,,477113,399409,42.2984940196846,-91.016013022054,www.ohnwardbank.bank
10118,Leighton State Bank,Pella,Iowa,50219,900 Washington St,NM,0,1,01/01/1934,,281589,238346,41.408333010696,-92.9205720279927,www.leightonbank.com
10120,American Trust and Savings Bank,Lowden,Iowa,52255,309 Mckinley Ave,NM,0,1,01/01/1934,,30365,25458,41.8578939986685,-90.9284620317297,www.atsb-lowden.com
10121,Liberty Trust & Savings Bank,Durant,Iowa,52747,502 8th Ave,NM,0,1,01/01/1934,,176513,141769,41.6006559886041,-90.9086700113996,www.mylibertytrust.com
10122,Farmers Savings Bank & Trust,Traer,Iowa,50675,611 2nd St,NM,0,1,01/01/1934,,227539,208796,42.1931280066227,-92.4648969864775,http://www.fsb-traer.com
10125,Citizens Savings Bank,Anamosa,Iowa,52205,215 E Main St,NM,0,1,01/01/1934,,172490,158476,42.1080930121746,-91.2834420014561,www.citizensbankia.com
10127,Success Bank,Bloomfield,Iowa,52537,109 N Madison St,NM,0,1,01/01/1934,,260224,217212,40.752479010612,-92.4153880180863,www.success.bank
